timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z,range.zrange,sys.rangingUs
30817.61,337.9375,313.125,166.25,385.1875,49.4375,977.4375,293.75,264.375,1921.4375,22.0625,-14.9375,0.0,0.0,147.66680908203125,0,54937
30867.147,337.9375,313.125,166.25,385.1875,49.4375,977.4375,293.75,264.375,1921.4375,22.0625,-14.9375,0.0,0.0,147.6590576171875,0,54937
30916.731,336.1875,313.5,165.5,387.0625,48.75,977.4375,293.75,264.375,1921.4375,22.0625,-14.9375,0.0,0.0,147.68252563476562,0,54937
30966.238,336.1875,313.5,165.5,387.0625,48.75,699.8125,282.75,262.125,1920.4375,18.3125,-16.125,0.0,0.0,147.71395874023438,0,55125
31015.792,336.1875,313.5,165.5,387.0625,48.75,699.8125,282.75,262.125,1920.4375,18.3125,-16.125,0.0,0.0,147.75546264648438,0,55125
31065.337,334.375,311.625,169.0,543.5,48.75,699.8125,282.75,262.125,1920.4375,18.3125,-16.125,0.0,0.0,147.77821350097656,0,55125
31114.893,334.375,311.625,169.0,543.5,51.0,288.25,285.375,270.6875,1917.375,18.0,-19.8125,0.0,0.0,147.7584991455078,0,55020
31164.421,334.375,311.625,169.0,543.5,51.0,288.25,285.375,270.6875,1917.375,18.0,-19.8125,0.0,0.0,147.74998474121094,0,55020
31213.983,333.625,311.75,169.375,543.5,51.0,288.25,285.375,270.6875,1917.375,18.0,-19.8125,0.0,0.0,147.7425537109375,0,55020
31263.511,333.625,311.75,169.375,386.6875,51.5,160.6875,283.3125,284.5625,1919.0625,21.6875,-18.5625,0.0,0.0,147.74395751953125,0,55133
31313.075,333.625,311.75,169.375,386.6875,51.5,160.6875,283.3125,284.5625,1919.0625,21.6875,-18.5625,0.0,0.0,147.71026611328125,0,55133
31362.607,334.3125,312.625,169.375,386.6875,51.5,160.6875,283.3125,284.5625,1919.0625,21.6875,-18.5625,0.0,0.0,147.67665100097656,0,55133
31412.156,334.3125,312.625,166.125,387.1875,52.6875,156.4375,296.5,254.5625,1918.1875,18.125,-18.8125,0.0,0.0,147.67535400390625,0,54994
31461.693,334.3125,312.625,166.125,387.1875,52.6875,156.4375,296.5,254.5625,1918.1875,18.125,-18.8125,0.0,0.0,147.6858367919922,0,54994
31511.264,337.0625,312.625,166.125,387.1875,52.6875,156.4375,296.5,254.5625,1918.1875,18.125,-18.8125,0.0,0.0,147.6863555908203,0,54994
31560.784,337.0625,313.625,178.4375,387.5625,52.1875,427.125,283.6875,250.1875,1918.375,21.875,-16.375,0.0,0.0,147.66517639160156,0,54955
31610.339,337.0625,313.625,178.4375,387.5625,52.1875,427.125,283.6875,250.1875,1918.375,21.875,-16.375,0.0,0.0,147.66436767578125,0,54955
31659.89,337.0625,313.625,178.4375,387.5625,52.1875,427.125,283.6875,250.1875,1918.375,21.875,-16.375,0.0,0.0,147.6778106689453,0,54955
31709.445,323.75,311.9375,164.375,547.5625,51.3125,888.875,287.625,249.5,1920.8125,21.9375,-16.375,0.0,0.0,147.69871520996094,0,54955
31758.966,323.75,311.9375,164.375,547.5625,51.3125,888.875,287.625,249.5,1920.8125,21.9375,-14.75,0.0,0.0,147.7091827392578,0,55158
31808.52,323.75,311.9375,164.375,547.5625,51.3125,888.875,287.625,249.5,1920.8125,21.9375,-14.75,0.0,0.0,147.72909545898438,0,55158
31858.068,301.25,310.5,175.5625,381.6875,53.3125,1741.5625,284.5,294.5625,1920.0625,21.9375,-14.75,0.0,0.0,147.71168518066406,0,55158
31907.621,301.25,310.5,175.5625,381.6875,53.3125,1741.5625,284.5,294.5625,1920.0625,18.125,-16.8125,0.0,0.0,147.67698669433594,0,55016
31957.148,301.25,310.5,175.5625,381.6875,53.3125,1741.5625,284.5,294.5625,1920.0625,18.125,-16.8125,0.0,0.0,147.67076110839844,0,55016
32006.711,267.9375,303.0,179.3125,377.8125,54.9375,1802.375,288.375,232.5625,1920.0625,18.125,-16.8125,0.0,0.0,147.68478393554688,0,55016
32056.24,267.9375,303.0,179.3125,377.8125,54.9375,1802.375,288.375,232.5625,1922.25,22.25,-19.125,0.0,0.0,147.71566772460938,0,55127
32105.803,267.9375,303.0,179.3125,377.8125,54.9375,1802.375,288.375,232.5625,1922.25,22.25,-19.125,0.0,0.0,147.7702178955078,0,55127
32155.341,305.5,311.875,182.3125,385.5625,53.25,1478.125,303.1875,232.5625,1922.25,22.25,-19.125,0.0,0.0,147.78733825683594,0,55127
32204.885,305.5,311.875,182.3125,385.5625,53.25,1478.125,303.1875,242.9375,1918.625,22.1875,-18.5,0.0,0.0,147.8024139404297,0,54990
32254.423,305.5,311.875,182.3125,385.5625,53.25,1478.125,303.1875,242.9375,1918.625,22.1875,-18.5,0.0,0.0,147.77503967285156,0,54990
32303.991,325.125,317.0,168.5,550.8125,55.3125,667.875,303.1875,242.9375,1918.625,22.1875,-18.5,0.0,0.0,147.73611450195312,0,54990
32353.513,325.125,317.0,168.5,550.8125,55.3125,667.875,290.0625,230.875,1919.0625,18.25,-19.125,0.0,0.0,147.69229125976562,0,55056
32403.067,325.125,317.0,168.5,550.8125,55.3125,667.875,290.0625,230.875,1919.0625,18.25,-19.125,0.0,0.0,147.6831817626953,0,55056
32452.616,332.25,313.125,174.375,534.3125,50.6875,667.875,290.0625,230.875,1919.0625,18.25,-19.125,0.0,0.0,147.7339630126953,0,55056
32502.168,332.25,313.125,174.375,534.3125,50.6875,953.0,282.0,250.875,1919.75,22.1875,-19.25,0.0,0.0,147.75611877441406,0,55183
32551.695,332.25,313.125,174.375,534.3125,50.6875,953.0,282.0,250.875,1919.75,22.1875,-19.25,0.0,0.0,147.7533416748047,0,55183
32601.261,327.5625,309.5,173.0625,524.75,50.6875,953.0,282.0,250.875,1919.75,22.1875,-19.25,0.0,0.0,147.75535583496094,0,55183
32650.786,327.5625,309.5,173.0625,524.75,56.1875,1229.8125,295.875,247.125,1919.6875,18.125,-18.3125,0.0,0.0,147.72767639160156,0,55029
32700.35,327.5625,309.5,173.0625,524.75,56.1875,1229.8125,295.875,247.125,1919.6875,18.125,-18.3125,0.0,0.0,147.70025634765625,0,55029
32749.899,328.375,310.25,178.75,542.125,56.1875,1229.8125,295.875,247.125,1919.6875,18.125,-18.3125,0.0,0.0,147.67718505859375,0,55029
32799.431,328.375,310.25,178.75,542.125,50.5,1090.875,298.6875,212.3125,1918.625,18.125,-19.0,0.0,0.0,147.67529296875,0,55066
32848.969,328.375,310.25,178.75,542.125,50.5,1090.875,298.6875,212.3125,1918.625,18.125,-19.0,0.0,0.0,147.6819305419922,0,55066
32898.545,325.9375,311.3125,167.5,542.125,50.5,1090.875,298.6875,212.3125,1918.625,18.125,-19.0,0.0,0.0,147.69679260253906,0,55066
32948.06,325.9375,311.3125,167.5,530.25,54.0,949.625,291.25,247.1875,1918.1875,22.375,-19.0625,0.0,0.0,147.74009704589844,0,54886
32997.614,325.9375,311.3125,167.5,530.25,54.0,949.625,291.25,247.1875,1918.1875,22.375,-19.0625,0.0,0.0,147.74642944335938,0,54886
33047.158,327.9375,310.8125,167.5,530.25,54.0,949.625,291.25,247.1875,1918.1875,22.375,-19.0625,0.0,0.0,147.72352600097656,0,54886
33096.715,327.9375,310.8125,186.5,378.9375,50.6875,1001.9375,292.75,228.1875,1920.625,18.25,-18.375,0.0,0.0,147.69223022460938,0,55132
